metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
F1_CV,weapon,0,Hybrid-Manual,Raw-Facts,11,0.7289,0.7212,0.0077,0.115,0.831055,0.918534,1.0,False,False,Hybrid-Manual
F1_CV,weapon,0,Hybrid-Full,GPT-Schema,11,0.7422,0.737,0.0052,0.131,0.898438,0.943359,1.0,False,False,Hybrid-Full
F1_CV,weapon,0,Hybrid-Full,GPT-Free,11,0.7422,0.7023,0.04,1.145,0.009766,0.068359,0.205078,False,False,Hybrid-Full
F1_CV,weapon,0,Hybrid-Full,GPT-Law,11,0.7422,0.7125,0.0298,0.583,0.083008,0.193685,1.0,False,False,Hybrid-Full
F1_CV,weapon,0,Hybrid-Full,Raw-Facts,11,0.7422,0.7212,0.021,0.314,0.240234,0.360352,1.0,False,False,Hybrid-Full
F1_CV,weapon,0,GPT-Schema,GPT-Free,11,0.737,0.7023,0.0347,1.068,0.006836,0.068359,0.143555,False,False,GPT-Schema
F1_CV,weapon,0,GPT-Schema,GPT-Law,11,0.737,0.7125,0.0245,0.652,0.083008,0.193685,1.0,False,False,GPT-Schema
F1_CV,weapon,0,GPT-Schema,Raw-Facts,11,0.737,0.7212,0.0158,0.289,0.240234,0.360352,1.0,False,False,GPT-Schema
F1_CV,weapon,0,GPT-Free,GPT-Law,11,0.7023,0.7125,-0.0102,-0.229,0.577148,0.712948,1.0,False,False,GPT-Law
F1_CV,weapon,0,GPT-Free,Raw-Facts,11,0.7023,0.7212,-0.0189,-0.338,0.206055,0.360352,1.0,False,False,Raw-Facts
F1_CV,weapon,0,GPT-Law,Raw-Facts,11,0.7125,0.7212,-0.0087,-0.149,0.637695,0.743978,1.0,False,False,Raw-Facts
F1_CV,weapon,1,Manual,Hybrid-Manual,11,0.828,0.8052,0.0228,0.572,0.067383,0.17688,1.0,False,False,Manual
F1_CV,weapon,1,Manual,Hybrid-Full,11,0.828,0.8205,0.0075,0.247,0.519531,0.681885,1.0,False,False,Manual
F1_CV,weapon,1,Manual,GPT-Schema,11,0.828,0.8006,0.0274,0.785,0.024414,0.073242,0.512695,False,False,Manual
F1_CV,weapon,1,Manual,GPT-Free,11,0.828,0.7848,0.0432,1.745,0.000977,0.013672,0.020508,True,True,Manual
F1_CV,weapon,1,Manual,GPT-Law,11,0.828,0.7928,0.0352,1.21,0.001953,0.013672,0.041016,True,True,Manual
F1_CV,weapon,1,Manual,Raw-Facts,11,0.828,0.7854,0.0426,0.912,0.018555,0.073242,0.389648,False,False,Manual
F1_CV,weapon,1,Hybrid-Manual,Hybrid-Full,11,0.8052,0.8205,-0.0153,-0.346,0.27832,0.480469,1.0,False,False,Hybrid-Full
F1_CV,weapon,1,Hybrid-Manual,GPT-Schema,11,0.8052,0.8006,0.0046,0.123,0.637695,0.743978,1.0,False,False,Hybrid-Manual
F1_CV,weapon,1,Hybrid-Manual,GPT-Free,11,0.8052,0.7848,0.0204,0.576,0.174805,0.333718,1.0,False,False,Hybrid-Manual
F1_CV,weapon,1,Hybrid-Manual,GPT-Law,11,0.8052,0.7928,0.0124,0.319,0.413086,0.57832,1.0,False,False,Hybrid-Manual
F1_CV,weapon,1,Hybrid-Manual,Raw-Facts,11,0.8052,0.7854,0.0198,0.328,0.320312,0.480469,1.0,False,False,Hybrid-Manual
F1_CV,weapon,1,Hybrid-Full,GPT-Schema,11,0.8205,0.8006,0.0199,0.372,0.123047,0.287109,1.0,False,False,Hybrid-Full
F1_CV,weapon,1,Hybrid-Full,GPT-Free,11,0.8205,0.7848,0.0357,0.96,0.013672,0.071777,0.287109,False,False,Hybrid-Full
F1_CV,weapon,1,Hybrid-Full,GPT-Law,11,0.8205,0.7928,0.0277,0.856,0.024414,0.073242,0.512695,False,False,Hybrid-Full
F1_CV,weapon,1,Hybrid-Full,Raw-Facts,11,0.8205,0.7854,0.0351,1.138,0.001953,0.013672,0.041016,True,True,Hybrid-Full
F1_CV,weapon,1,GPT-Schema,GPT-Free,11,0.8006,0.7848,0.0158,0.386,0.147461,0.309668,1.0,False,False,GPT-Schema
F1_CV,weapon,1,GPT-Schema,GPT-Law,11,0.8006,0.7928,0.0078,0.208,0.764648,0.831055,1.0,False,False,GPT-Schema
F1_CV,weapon,1,GPT-Schema,Raw-Facts,11,0.8006,0.7854,0.0152,0.245,0.637695,0.743978,1.0,False,False,GPT-Schema
F1_CV,weapon,1,GPT-Free,GPT-Law,11,0.7848,0.7928,-0.008,-0.217,0.320312,0.480469,1.0,False,False,GPT-Law
F1_CV,weapon,1,GPT-Free,Raw-Facts,11,0.7848,0.7854,-0.0006,-0.01,0.831055,0.831055,1.0,False,False,Raw-Facts
F1_CV,weapon,1,GPT-Law,Raw-Facts,11,0.7928,0.7854,0.0074,0.167,0.831055,0.831055,1.0,False,False,GPT-Law
AP_PR,drugs,0,Manual,Hybrid-Manual,11,0.9565,0.9297,0.0268,1.105,0.000977,0.005127,0.020508,True,True,Manual
AP_PR,drugs,0,Manual,Hybrid-Full,11,0.9565,0.9205,0.036,1.569,0.001953,0.005127,0.041016,True,True,Manual
AP_PR,drugs,0,Manual,GPT-Schema,11,0.9565,0.9358,0.0206,0.892,0.018555,0.038965,0.389648,True,False,Manual
AP_PR,drugs,0,Manual,GPT-Free,11,0.9565,0.9042,0.0523,1.909,0.000977,0.005127,0.020508,True,True,Manual
AP_PR,drugs,0,Manual,GPT-Law,11,0.9565,0.8898,0.0667,3.047,0.000977,0.005127,0.020508,True,True,Manual
AP_PR,drugs,0,Manual,Raw-Facts,11,0.9565,0.903,0.0535,2.361,0.001953,0.005127,0.041016,True,True,Manual
AP_PR,drugs,0,Hybrid-Manual,Hybrid-Full,11,0.9297,0.9205,0.0092,0.357,0.101562,0.11849,1.0,False,False,Hybrid-Manual
AP_PR,drugs,0,Hybrid-Manual,GPT-Schema,11,0.9297,0.9358,-0.0062,-0.233,0.519531,0.545508,1.0,False,False,GPT-Schema
AP_PR,drugs,0,Hybrid-Manual,GPT-Free,11,0.9297,0.9042,0.0255,0.87,0.032227,0.052058,0.676758,False,False,Hybrid-Manual
AP_PR,drugs,0,Hybrid-Manual,GPT-Law,11,0.9297,0.8898,0.0399,1.819,0.001953,0.005127,0.041016,True,True,Hybrid-Manual
AP_PR,drugs,0,Hybrid-Manual,Raw-Facts,11,0.9297,0.903,0.0267,0.885,0.024414,0.042725,0.512695,True,False,Hybrid-Manual
AP_PR,drugs,0,Hybrid-Full,GPT-Schema,11,0.9205,0.9358,-0.0153,-0.414,0.206055,0.227745,1.0,False,False,GPT-Schema
AP_PR,drugs,0,Hybrid-Full,GPT-Free,11,0.9205,0.9042,0.0163,0.645,0.083008,0.102539,1.0,False,False,Hybrid-Full
AP_PR,drugs,0,Hybrid-Full,GPT-Law,11,0.9205,0.8898,0.0307,1.436,0.001953,0.005127,0.041016,True,True,Hybrid-Full
AP_PR,drugs,0,Hybrid-Full,Raw-Facts,11,0.9205,0.903,0.0175,0.558,0.083008,0.102539,1.0,False,False,Hybrid-Full
AP_PR,drugs,0,GPT-Schema,GPT-Free,11,0.9358,0.9042,0.0316,0.802,0.024414,0.042725,0.512695,True,False,GPT-Schema
AP_PR,drugs,0,GPT-Schema,GPT-Law,11,0.9358,0.8898,0.046,1.441,0.000977,0.005127,0.020508,True,True,GPT-Schema
