domain,task,model,rep_a,rep_b,n_pairs,n12_a_right_b_wrong,n21_a_wrong_b_right,mcnemar_p,p_fdr_bh
drugs,binary_0,gpt5mini,fe_manual_format,manual_fe,100,6,13,0.1670684814453125,0.593525105738081
drugs,binary_0,gpt5mini,gpt_free,gpt_law,100,3,11,0.057373046875,0.39029337064173997
drugs,binary_0,gpt5mini,gpt_free,hybrid_full_gpt,100,6,13,0.1670684814453125,0.593525105738081
drugs,binary_0,gpt5mini,gpt_free,hybrid_gpt,100,8,9,1.0,1.0
drugs,binary_0,gpt5mini,gpt_free,hybrid_manual_gpt,100,5,13,0.09625244140625,0.4725912274973126
drugs,binary_0,gpt5mini,gpt_free,manual_fe,100,5,14,0.063568115234375,0.39170862749169433
drugs,binary_0,gpt5mini,gpt_law,hybrid_full_gpt,100,6,5,1.0,1.0
drugs,binary_0,gpt5mini,gpt_law,hybrid_gpt,100,10,3,0.09228515625,0.4710987296388102
drugs,binary_0,gpt5mini,gpt_law,hybrid_manual_gpt,100,6,6,1.0,1.0
drugs,binary_0,gpt5mini,gpt_law,manual_fe,100,8,9,1.0,1.0
drugs,binary_0,gpt5mini,hybrid_full_gpt,hybrid_gpt,100,10,4,0.1795654296875,0.6179329675572519
drugs,binary_0,gpt5mini,hybrid_full_gpt,hybrid_manual_gpt,100,3,4,1.0,1.0
drugs,binary_0,gpt5mini,hybrid_full_gpt,manual_fe,100,7,9,0.803619384765625,1.0
drugs,binary_0,gpt5mini,hybrid_gpt,hybrid_manual_gpt,100,2,9,0.0654296875,0.39170862749169433
drugs,binary_0,gpt5mini,hybrid_gpt,manual_fe,100,6,14,0.11531829833984375,0.5234346942277038
drugs,binary_0,gpt5mini,hybrid_manual_gpt,manual_fe,100,6,7,1.0,1.0
drugs,binary_0,llama3_70b,facts,fe_gpt_schema,100,8,6,0.79052734375,1.0
drugs,binary_0,llama3_70b,facts,fe_manual_format,100,16,8,0.15158963203430176,0.5690927435954412
drugs,binary_0,llama3_70b,facts,gpt_free,100,14,9,0.4048728942871094,0.8467147419323148
drugs,binary_0,llama3_70b,facts,gpt_law,100,6,6,1.0,1.0
drugs,binary_0,llama3_70b,facts,hybrid_full_gpt,100,9,7,0.803619384765625,1.0
drugs,binary_0,llama3_70b,facts,hybrid_gpt,100,13,7,0.26317596435546875,0.7003962701459333
drugs,binary_0,llama3_70b,facts,hybrid_manual_gpt,100,9,9,1.0,1.0
drugs,binary_0,llama3_70b,facts,manual_fe,100,8,7,1.0,1.0
drugs,binary_0,llama3_70b,fe_gpt_schema,fe_manual_format,100,16,10,0.32693958282470703,0.7751909582238449
drugs,binary_0,llama3_70b,fe_gpt_schema,gpt_free,100,13,10,0.6776394844055176,1.0
drugs,binary_0,llama3_70b,fe_gpt_schema,gpt_law,100,4,6,0.75390625,1.0
