domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman,Ordinal_AUC
weapon,Hybrid-Manual,mistral_large_or,0.6777095021818506,0.6527634901337324,0.8611971104231166,0.6916728887566455,0.8829915507833128
weapon,Hybrid-Manual,deepseek_r1_or,0.6393612608875985,0.5914715206053789,0.8379772961816305,0.6550832144731954,0.8595867804963915
weapon,Hybrid-Full,gpt4,0.7759073659628296,0.7559145989613387,0.9031647746818026,0.7645876360951087,0.9235235873965851
weapon,Hybrid-Full,gpt5mini,0.7365165281268123,0.6738283106759198,0.8921568627450981,0.7488600901191963,0.9122425629290618
weapon,Hybrid-Full,gpt52,0.7350809698487967,0.7063039882374564,0.8984348125214998,0.7500854301836136,0.9174551135363492
weapon,Hybrid-Full,gpt51_thinking,0.7819447129325343,0.7520256265309968,0.9050567595459237,0.763715764345679,0.9242804963914804
weapon,Hybrid-Full,claude_sonnet_4_6,0.8049072963748731,0.7924181082075819,0.9019607843137255,0.7704153286816102,0.9262959866220737
weapon,Hybrid-Full,gemini_25_pro,0.6688020499679692,0.5977683891236052,0.8557791537667698,0.6967483524863956,0.8794776447808483
weapon,Hybrid-Full,gemini_3_flash,0.785551330798479,0.7460406185951183,0.9005847953216374,0.7648650196001677,0.9234729801091357
weapon,Hybrid-Full,gemma3_27b,0.6526237989652623,0.6460909175420656,0.8448572411420708,0.6733541721230915,0.8623217743355043
weapon,Hybrid-Full,gemma4_31b_or,0.7906661502711076,0.7513227513227513,0.9019607843137255,0.767719219084681,0.9245445344129555
weapon,Hybrid-Full,llama3_70b,0.6723470178156468,0.6456365369616084,0.8452872377020983,0.6648112777322321,0.8636859707797923
