domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
weapon,lenient,GPT-Free,claude_sonnet_4_6,141,62,0.8822,0.8944,0.8217,0.791,0.8548,0.8369,28.0
weapon,lenient,GPT-Free,gemini_25_pro,141,62,0.8138,0.8556,0.7879,0.7429,0.8387,0.8014,20.0
weapon,lenient,GPT-Free,gemini_3_flash,141,62,0.8678,0.8777,0.7939,0.7536,0.8387,0.8085,42.0
weapon,lenient,GPT-Free,gemma3_27b,141,62,0.8219,0.8699,0.7642,0.7705,0.7581,0.7943,40.0
weapon,lenient,GPT-Free,gemma4_31b_or,141,62,0.8644,0.8916,0.7969,0.7727,0.8226,0.8156,35.0
weapon,lenient,GPT-Free,gpt4,141,62,0.8368,0.8589,0.7879,0.7429,0.8387,0.8014,35.0
weapon,lenient,GPT-Free,gpt51_thinking,141,62,0.8684,0.8902,0.8092,0.7681,0.8548,0.8227,38.0
weapon,lenient,GPT-Free,gpt52,141,62,0.8766,0.8866,0.7937,0.7812,0.8065,0.8156,42.0
weapon,lenient,GPT-Free,gpt5mini,141,62,0.8531,0.874,0.784,0.7778,0.7903,0.8085,41.0
weapon,lenient,GPT-Free,llama3_70b,141,62,0.7607,0.821,0.7248,0.6207,0.871,0.7092,40.0
weapon,lenient,GPT-Free,qwen3_vl_235b_or,141,62,0.83,0.8582,0.7759,0.8333,0.7258,0.8156,35.0
weapon,lenient,Law,claude_sonnet_4_6,141,62,0.8721,0.9013,0.8182,0.7714,0.871,0.8298,32.0
weapon,lenient,Law,gemini_25_pro,141,62,0.791,0.8502,0.7907,0.7612,0.8226,0.8085,25.0
weapon,lenient,Law,gemini_3_flash,141,62,0.8308,0.8753,0.7642,0.7705,0.7581,0.7943,62.0
weapon,lenient,Law,gemma3_27b,141,62,0.7699,0.8594,0.7794,0.7162,0.8548,0.7872,45.0
weapon,lenient,Law,gemma4_31b_or,141,62,0.8294,0.8877,0.7903,0.7903,0.7903,0.8156,40.0
weapon,lenient,Law,gpt4,141,62,0.837,0.8808,0.784,0.7778,0.7903,0.8085,45.0
weapon,lenient,Law,gpt51_thinking,141,62,0.862,0.8974,0.8062,0.7761,0.8387,0.8227,45.0
weapon,lenient,Law,gpt52,141,62,0.8456,0.8892,0.8028,0.7125,0.9194,0.8014,38.0
weapon,lenient,Law,gpt5mini,141,62,0.8681,0.9022,0.8437,0.8182,0.871,0.8582,47.0
weapon,lenient,Law,llama3_70b,141,62,0.6954,0.7848,0.7465,0.6625,0.8548,0.7447,48.0
weapon,lenient,Law,qwen3_vl_235b_or,141,62,0.813,0.8772,0.8056,0.7073,0.9355,0.8014,35.0
weapon,strict,manual_fe,claude_sonnet_4_6,141,41,0.79,0.918,0.7455,0.5942,1.0,0.8014,38.0
weapon,strict,manual_fe,gemini_25_pro,141,41,0.7167,0.8843,0.7103,0.5758,0.9268,0.7801,25.0
