domain,rep_a,rep_b,metric,n_models,mean_a,mean_b,diff_a_minus_b,wilcoxon_W,p_value,p_fdr_bh,sig_005
weapon,fe_gpt_schema,manual_fe,C_index,8,0.8214059668309119,0.9139202060347655,-0.0925142392038536,0.0,0.0078125,0.0205078125,True
weapon,gpt_free,gpt_law,C_index,8,0.8718933436825449,0.878785445400492,-0.0068921017179470745,11.0,0.3828125,0.4231085526315789,False
weapon,gpt_free,hybrid_full_gpt,C_index,8,0.8718933436825449,0.9126228941147831,-0.04072955043223825,1.0,0.015625,0.029829545454545452,True
weapon,gpt_free,hybrid_manual_gpt,C_index,8,0.8718933436825449,0.8939026146067031,-0.022009270924158164,4.0,0.0546875,0.07656249999999999,False
weapon,gpt_free,manual_fe,C_index,8,0.8718933436825449,0.9139202060347655,-0.04202686235222064,0.0,0.0078125,0.0205078125,True
weapon,gpt_law,hybrid_full_gpt,C_index,8,0.878785445400492,0.9126228941147831,-0.033837448714291174,0.0,0.0078125,0.0205078125,True
weapon,gpt_law,hybrid_manual_gpt,C_index,8,0.878785445400492,0.8939026146067031,-0.01511716920621109,8.0,0.1953125,0.24126838235294118,False
weapon,gpt_law,manual_fe,C_index,8,0.878785445400492,0.9139202060347655,-0.035134760634273565,1.0,0.015625,0.029829545454545452,True
weapon,hybrid_full_gpt,hybrid_manual_gpt,C_index,8,0.9126228941147831,0.8939026146067031,0.018720279508080084,3.0,0.0390625,0.05859375,False
weapon,hybrid_full_gpt,manual_fe,C_index,8,0.9126228941147831,0.9139202060347655,-0.0012973119199823913,17.0,0.9453125,0.9453125,False
weapon,hybrid_manual_gpt,manual_fe,C_index,8,0.8939026146067031,0.9139202060347655,-0.020017591428062476,2.0,0.0234375,0.03786057692307692,True
drugs,facts,fe_gpt_schema,F1_strict_oracle,8,0.8544015973826224,0.8334949073837226,0.020906689998899886,12.0,0.4609375,0.5693933823529411,False
drugs,facts,gpt_free,F1_strict_oracle,8,0.8544015973826224,0.8744909010129281,-0.0200893036303057,9.0,0.25,0.328125,False
drugs,facts,gpt_law,F1_strict_oracle,8,0.8544015973826224,0.856264334539796,-0.0018627371571735551,17.0,0.9453125,0.9453125,False
drugs,facts,hybrid_full_gpt,F1_strict_oracle,8,0.8544015973826224,0.8805920529470361,-0.026190455564413684,7.0,0.1484375,0.20781249999999998,False
drugs,facts,hybrid_manual_gpt,F1_strict_oracle,8,0.8544015973826224,0.8745518009128781,-0.02015020353025565,5.0,0.078125,0.12620192307692307,False
drugs,facts,manual_fe,F1_strict_oracle,8,0.8544015973826224,0.903217786555526,-0.048816189172903535,1.0,0.015625,0.0546875,False
drugs,fe_gpt_schema,gpt_free,F1_strict_oracle,8,0.8334949073837226,0.8744909010129281,-0.040995993629205585,2.0,0.0234375,0.0615234375,False
drugs,fe_gpt_schema,gpt_law,F1_strict_oracle,8,0.8334949073837226,0.856264334539796,-0.02276942715607344,6.0,0.109375,0.1640625,False
drugs,fe_gpt_schema,hybrid_full_gpt,F1_strict_oracle,8,0.8334949073837226,0.8805920529470361,-0.04709714556331357,3.0,0.0390625,0.08203125,False
drugs,fe_gpt_schema,hybrid_manual_gpt,F1_strict_oracle,8,0.8334949073837226,0.8745518009128781,-0.041056893529155536,2.0,0.0234375,0.0615234375,False
