n,QWK_scale,C_index,Spearman,AP_strict,AP_lenient,F1_strict_oracle,F1_lenient_oracle,F1_strict_t50,F1_lenient_t50,model,rep,domain
141,0.5982905982905982,0.8912597455888387,0.6488397247622368,0.6592192248511335,0.7875287117068279,0.7428571428566505,0.7903225806446623,0.6197183098591549,0.7453416149068323,llama3_70b,facts,weapon
100,0.6708721886999451,0.924189136381399,0.7111083584447523,0.7825997869027129,0.8227111714558275,0.8311688311683353,0.7931034482753715,0.6534653465346535,0.7931034482758621,llama3_70b,fe_gpt_schema,drugs
141,0.5442965779467681,0.8472967395790343,0.5669958007116503,0.6316325809522761,0.7365414047052388,0.620155038759231,0.7432432432427507,0.6201550387596899,0.7432432432432432,llama3_70b,fe_gpt_schema,weapon
100,0.7181146025878004,0.9050894085281981,0.7500317256640053,0.9394077722692431,0.8940321633867546,0.8955223880592024,0.8076923076918083,0.75,0.7961165048543689,llama3_70b,gpt_free,drugs
141,0.5547800074784993,0.8505184895323812,0.6064929581177003,0.6327449379421572,0.7778118798138229,0.6724137931029697,0.7564102564097702,0.6724137931034483,0.7555555555555555,llama3_70b,gpt_free,weapon
100,0.6510973550928532,0.8769827282340501,0.6941162328751826,0.8789794210846842,0.8269886536694631,0.8611111111106114,0.7659574468080127,0.6415094339622641,0.743801652892562,llama3_70b,gpt_law,drugs
141,0.5766440813072938,0.8770152955766846,0.6171617472415215,0.6440097945532728,0.7539032218834814,0.7254901960779363,0.7564102564097702,0.6277372262773723,0.7564102564102564,llama3_70b,gpt_law,weapon
100,0.7651863195507912,0.9428372255141164,0.8058037202887367,0.9568627450980391,0.8945647995903001,0.9090909090904131,0.8108108108103157,0.7446808510638298,0.8073394495412844,llama3_70b,hybrid_full_gpt,drugs
141,0.6926822481914301,0.9278817733990148,0.7274372868818849,0.7224265201530562,0.837689966408378,0.7499999999995007,0.8137931034477812,0.7142857142857143,0.8137931034482758,llama3_70b,hybrid_full_gpt,weapon
100,0.7508719481813653,0.9250814332247557,0.7586767456425221,0.9004081632653061,0.8831083263714844,0.8571428571423633,0.8181818181813224,0.7368421052631579,0.8181818181818182,llama3_70b,hybrid_manual_gpt,drugs
141,0.5869208997467601,0.8785084202085004,0.6405106231202291,0.6551007444998576,0.7884689092949418,0.6666666666661983,0.7798742138359945,0.6666666666666666,0.7746478873239436,llama3_70b,hybrid_manual_gpt,weapon
100,0.776536312849162,0.9599411980889379,0.8066947931560863,0.8999739786625032,0.8986577794721904,0.9014084507037253,0.8139534883716062,0.7291666666666666,0.8108108108108109,llama3_70b,manual_fe,drugs
141,0.6352476365175674,0.9006514657980456,0.6617546154138954,0.6865267622168807,0.7730336833497014,0.7191011235950062,0.7837837837832912,0.6821705426356589,0.7837837837837838,llama3_70b,manual_fe,weapon
100,0.6792815907633099,0.8782849239280774,0.6956366082166435,0.8493182327885055,0.8288640069876614,0.8717948717943769,0.8041237113397066,0.7906976744186046,0.7920792079207921,qwen3_235b,facts,drugs
141,0.5775390019630127,0.8876172607879925,0.6801374236303432,0.7470079562267207,0.8209117752082818,0.7450980392151911,0.7894736842100368,0.7428571428571429,0.7580645161290323,qwen3_235b,facts,weapon
100,0.71890372452565,0.8946078431372549,0.7256223657697899,0.8494717301404383,0.8860546806987486,0.7999999999995001,0.8076923076918083,0.723404255319149,0.8073394495412844,qwen3_235b,fe_gpt_schema,drugs
141,0.42923867351704814,0.824901185770751,0.5505181489738276,0.6203434122274941,0.7591915116996902,0.6206896551719154,0.7401574803144608,0.6055045871559633,0.734375,qwen3_235b,fe_gpt_schema,weapon
97,0.7046838407494146,0.8857142857142857,0.7171335082093174,0.9028331700939564,0.8687742619333881,0.8695652173908044,0.8043478260864585,0.8205128205128205,0.8043478260869565,qwen3_235b,gpt_free,drugs
140,0.4770380136233795,0.8526603001364257,0.6206915887979645,0.734454583604783,0.81821005189011,0.744186046511129,0.7239263803676211,0.7441860465116279,0.7047619047619048,qwen3_235b,gpt_free,weapon
100,0.714867617107943,0.9006576670128073,0.7408042366586935,0.9146528684233395,0.8874541843003706,0.8484848484843504,0.8247422680407376,0.6938775510204082,0.7610619469026548,qwen3_235b,gpt_law,drugs
141,0.6266920237162994,0.8618940248027057,0.6444886150819759,0.7262567802243719,0.8249058262323673,0.754716981131584,0.7874015748026497,0.7407407407407407,0.7874015748031497,qwen3_235b,gpt_law,weapon
100,0.7895408163265306,0.9403859407305307,0.8077312789636828,0.9574064808107362,0.9145489845627143,0.8888888888883892,0.8599999999994998,0.8235294117647058,0.86,qwen3_235b,hybrid_full_gpt,drugs
140,0.6127027436713657,0.8991244765892653,0.7056115098113401,0.7220438269187861,0.8403118129219922,0.7572815533975638,0.8124999999995001,0.7522935779816514,0.8125,qwen3_235b,hybrid_full_gpt,weapon
100,0.7617554858934169,0.924279263633206,0.7783087962224153,0.9349890530925014,0.9034058342743655,0.8732394366192184,0.8141592920349048,0.8148148148148148,0.8125,qwen3_235b,hybrid_manual_gpt,drugs
