setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
EXPANDED N=13,drugs,Hybrid-Full,qwen3_vl_235b_or,0.8156115550092194,0.7553699284009547,0.9100826446280992,0.7854358877861799
EXPANDED N=13,drugs,Hybrid-Full,qwen3_235b_or,0.7870967741935484,0.7525380710659899,0.8948760330578512,0.7610313556494636
EXPANDED N=13,drugs,Hybrid-Full,mistral_large_or,0.830028328611898,0.8129251700680272,0.8961983471074381,0.7753095799618184
EXPANDED N=13,weapon,Manual,gpt4,0.7813953488372093,0.7640926640926641,0.9083247334021328,0.7735959595790263
EXPANDED N=13,weapon,Manual,gpt5mini,0.831942789034565,0.8117946851110303,0.9264705882352942,0.7995560819256838
EXPANDED N=13,weapon,Manual,gpt52,0.7652347652347653,0.751818272392149,0.9099587203302374,0.7698895230282614
EXPANDED N=13,weapon,Manual,gpt51_thinking,0.8019662921348314,0.7776488440596269,0.9200206398348814,0.7886434608059384
EXPANDED N=13,weapon,Manual,claude_sonnet_4_6,0.8106656435833492,0.7904632680752084,0.9213966288269694,0.797342643974608
EXPANDED N=13,weapon,Manual,gemini_25_pro,0.7332576617480135,0.708809293320426,0.8918128654970761,0.7504669876621117
EXPANDED N=13,weapon,Manual,gemini_3_flash,0.7897875512486023,0.7664425606547793,0.9137426900584795,0.7789814817266504
EXPANDED N=13,weapon,Manual,gemma3_27b,0.6231961517904864,0.5968242379996349,0.8428792569659442,0.66977422876062
EXPANDED N=13,weapon,Manual,gemma4_31b_or,0.8077796964464237,0.7952069716775599,0.9275025799793601,0.8030896444431476
EXPANDED N=13,weapon,Manual,llama3_70b,0.6504394861392833,0.640855832908813,0.846749226006192,0.6601390936004569
EXPANDED N=13,weapon,Manual,qwen3_vl_235b_or,0.7963408762638421,0.7721266280064645,0.9055727554179567,0.7681641893976208
EXPANDED N=13,weapon,Manual,qwen3_235b_or,0.7010178117048346,0.6482328482328482,0.8743550051599587,0.7078303780908348
EXPANDED N=13,weapon,Manual,mistral_large_or,0.6771528123444499,0.6379616827967609,0.8719470244238046,0.7132638396233454
EXPANDED N=13,weapon,GPT-Schema,gpt4,0.7350122157489194,0.6648432157858748,0.8888888888888888,0.7358358738589263
EXPANDED N=13,weapon,GPT-Schema,gpt5mini,0.7678800073166271,0.7357635110627494,0.892844857241142,0.74860006520095
EXPANDED N=13,weapon,GPT-Schema,gpt52,0.7276054905948144,0.6645595432300163,0.8853629170966633,0.7282465968985139
EXPANDED N=13,weapon,GPT-Schema,gpt51_thinking,0.768607008398494,0.7330591461026243,0.8980048159614723,0.7540113642238266
EXPANDED N=13,weapon,GPT-Schema,claude_sonnet_4_6,0.7975558449363919,0.7631904173400513,0.9108187134502924,0.7767042809664474
EXPANDED N=13,weapon,GPT-Schema,gemini_25_pro,0.7301388453909594,0.6924335378323108,0.8836429308565531,0.73650391668877
EXPANDED N=13,weapon,GPT-Schema,gemini_3_flash,0.793686373400579,0.7821810271446137,0.9021327829377365,0.7611433690975907
EXPANDED N=13,weapon,GPT-Schema,gemma3_27b,0.6016011302095597,0.5656398104265403,0.8331613347093223,0.655797091504614
EXPANDED N=13,weapon,GPT-Schema,gemma4_31b_or,0.8149436864755975,0.7865022712524334,0.9229446164430685,0.7958610312900631
EXPANDED N=13,weapon,GPT-Schema,llama3_70b,0.5511507904005242,0.4993147555961627,0.7993815933066569,0.5802508982440289
EXPANDED N=13,weapon,GPT-Schema,qwen3_vl_235b_or,0.7001518987341773,0.6828106391425168,0.8716030271757826,0.7146776223169303
EXPANDED N=13,weapon,GPT-Schema,qwen3_235b_or,0.6607547948030521,0.5688073394495412,0.8648950808393533,0.6968389701613259
EXPANDED N=13,weapon,GPT-Schema,mistral_large_or,0.6901691028948123,0.6901691028948123,0.8643790849673203,0.7051015718295699
EXPANDED N=13,weapon,GPT-Free,gpt4,0.728793998845932,0.7129979645245711,0.8485552115583075,0.6742957444522152
EXPANDED N=13,weapon,GPT-Free,gpt5mini,0.6999910096197068,0.6649824054858793,0.85921912624699,0.6893688288675239
EXPANDED N=13,weapon,GPT-Free,gpt52,0.7109838846480068,0.6482867270578968,0.8703990368077056,0.7103515898091126
EXPANDED N=13,weapon,GPT-Free,gpt51_thinking,0.7514716152848449,0.7391476709613478,0.8763329893360853,0.7212449134523727
EXPANDED N=13,weapon,GPT-Free,claude_sonnet_4_6,0.753791011855528,0.753791011855528,0.8699690402476781,0.7153946781502075
EXPANDED N=13,weapon,GPT-Free,gemini_25_pro,0.6516718372974837,0.5731490621915105,0.837891296869625,0.6567533411211136
EXPANDED N=13,weapon,GPT-Free,gemini_3_flash,0.7368217802664607,0.7122728597803907,0.867561059511524,0.7077989185032009
EXPANDED N=13,weapon,GPT-Free,gemma3_27b,0.6403061224489796,0.6403061224489796,0.8314413484692122,0.6585706448053221
EXPANDED N=13,weapon,GPT-Free,gemma4_31b_or,0.7282753713421685,0.7087561742254154,0.8688510491916065,0.7148608276160527
EXPANDED N=13,weapon,GPT-Free,llama3_70b,0.5763163286211841,0.5559280707101493,0.7948056415548675,0.5789563875619379
EXPANDED N=13,weapon,GPT-Free,qwen3_vl_235b_or,0.6610902797807903,0.6610902797807903,0.8226694186446508,0.630359943638222
EXPANDED N=13,weapon,GPT-Free,qwen3_235b_or,0.6846217483224561,0.6719404374127502,0.8446852425180599,0.667891288978141
EXPANDED N=13,weapon,GPT-Free,mistral_large_or,0.5970523070995086,0.541301941845256,0.8034055727554179,0.6034687549882966
EXPANDED N=13,weapon,GPT-Law,gpt4,0.6987467712618387,0.6987467712618387,0.8614551083591331,0.6901158647193554
EXPANDED N=13,weapon,GPT-Law,gpt5mini,0.7791353383458647,0.7691290383525411,0.8704850361197111,0.7121031922788174
EXPANDED N=13,weapon,GPT-Law,gpt52,0.7153107818469854,0.6694071435096374,0.8749570003439973,0.7176990019774239
EXPANDED N=13,weapon,GPT-Law,gpt51_thinking,0.7482523831139356,0.7305344923247642,0.8780529755761954,0.721868321954886
EXPANDED N=13,weapon,GPT-Law,claude_sonnet_4_6,0.7464940668824165,0.7333724569640063,0.8797729618163055,0.7236219129317275
EXPANDED N=13,weapon,GPT-Law,gemini_25_pro,0.6901098901098901,0.6664037854889591,0.8461472308221534,0.6746625897706237
EXPANDED N=13,weapon,GPT-Law,gemini_3_flash,0.6998722860791826,0.6597364024503434,0.8556071551427589,0.6891017953326904
EXPANDED N=13,weapon,GPT-Law,gemma3_27b,0.6436823104693141,0.6054064028046868,0.8396972824217406,0.6679738848015504
EXPANDED N=13,weapon,GPT-Law,gemma4_31b_or,0.7184523224982815,0.6848702749975707,0.8779669762641898,0.7234525818104224
EXPANDED N=13,weapon,GPT-Law,llama3_70b,0.5151269270893706,0.4558610709117221,0.7692638458892329,0.5245495253067729
EXPANDED N=13,weapon,GPT-Law,qwen3_vl_235b_or,0.6544769085768143,0.5878033856822353,0.8439972480220158,0.6677738947032499
EXPANDED N=13,weapon,GPT-Law,qwen3_235b_or,0.6335805286176079,0.6335805286176079,0.8246474028207774,0.6320209759979724
EXPANDED N=13,weapon,GPT-Law,mistral_large_or,0.5404444444444445,0.4817642069550466,0.7897316821465429,0.5725534265478119
EXPANDED N=13,weapon,Raw-Facts,gpt4,0.7134407134407135,0.6904267797527746,0.858703130374957,0.6902423323926955
EXPANDED N=13,weapon,Raw-Facts,gpt5mini,0.6186710485775906,0.5241844769403825,0.8448572411420708,0.6514532288969183
EXPANDED N=13,weapon,Raw-Facts,gpt52,0.7241244374877716,0.6757999616784824,0.8730650154798761,0.711952705030421
