n,recall_1,recall_2,recall_3,off_diag_1_3,domain,rep,model,t_low,t_high
141,0.8552631578947368,0.10526315789473684,0.8478260869565217,0.0851063829787234,weapon,Raw-Facts,gemini_3_flash,63.5,70.0
141,0.7894736842105263,0.2631578947368421,0.6304347826086957,0.05673758865248227,weapon,Raw-Facts,gemma4_31b_or,42.5,67.5
141,0.8421052631578947,0.10526315789473684,0.7608695652173914,0.06382978723404255,weapon,Raw-Facts,gpt4,57.5,72.5
141,0.7236842105263158,0.42105263157894735,0.7608695652173914,0.06382978723404255,weapon,Raw-Facts,gpt51_thinking,56.5,69.0
141,0.7236842105263158,0.5263157894736842,0.7391304347826086,0.0425531914893617,weapon,Raw-Facts,gpt52,57.0,63.5
141,0.5789473684210527,0.7368421052631579,0.6739130434782609,0.06382978723404255,weapon,Raw-Facts,gpt5mini,43.5,69.0
141,0.9342105263157895,0.2631578947368421,0.7391304347826086,0.03546099290780142,weapon,Raw-Facts,kimi_k26_or,42.5,57.5
141,0.7368421052631579,0.15789473684210525,0.6304347826086957,0.11347517730496454,weapon,Raw-Facts,mistral_large_or,42.5,62.5
141,0.7105263157894737,0.5263157894736842,0.6521739130434783,0.0425531914893617,weapon,Raw-Facts,qwen3_vl_235b_or,32.5,57.5
141,0.8026315789473685,0.42105263157894735,0.5869565217391305,0.03546099290780142,weapon,GPT-Law,claude_haiku_4_5,30.0,43.5
141,0.8157894736842105,0.42105263157894735,0.6739130434782609,0.03546099290780142,weapon,GPT-Law,claude_sonnet_4_6,30.0,60.0
141,0.6447368421052632,0.42105263157894735,0.6956521739130435,0.03546099290780142,weapon,GPT-Law,deepseek_r1_or,27.5,56.0
141,0.8289473684210527,0.3684210526315789,0.5652173913043478,0.04964539007092199,weapon,GPT-Law,gemini_25_pro,22.5,42.5
141,0.8289473684210527,0.15789473684210525,0.7608695652173914,0.07092198581560284,weapon,GPT-Law,gemini_3_flash,56.5,73.5
141,0.7763157894736842,0.3157894736842105,0.6521739130434783,0.03546099290780142,weapon,GPT-Law,gemma4_31b_or,32.5,70.0
141,0.8421052631578947,0.21052631578947367,0.6521739130434783,0.05673758865248227,weapon,GPT-Law,gpt4,41.5,72.5
141,0.8421052631578947,0.2631578947368421,0.8043478260869565,0.05673758865248227,weapon,GPT-Law,gpt51_thinking,43.5,62.5
141,0.7236842105263158,0.3157894736842105,0.782608695652174,0.04964539007092199,weapon,GPT-Law,gpt52,36.5,60.0
141,0.8552631578947368,0.3157894736842105,0.7608695652173914,0.03546099290780142,weapon,GPT-Law,gpt5mini,46.0,62.5
141,0.7894736842105263,0.47368421052631576,0.5652173913043478,0.028368794326241134,weapon,GPT-Law,kimi_k26_or,27.5,46.5
141,0.5131578947368421,0.3157894736842105,0.6521739130434783,0.07801418439716312,weapon,GPT-Law,mistral_large_or,37.5,52.5
141,0.7105263157894737,0.3684210526315789,0.6956521739130435,0.07092198581560284,weapon,GPT-Law,qwen3_vl_235b_or,32.5,42.5
