query,domain,fold,year,method,err_lo,err_hi
תפ_65386-09-19,drugs,1,2019.0,bm25,8.5,4.0
תפ_65386-09-19,drugs,1,2019.0,offense_matched_random,15.0,19.0
תפ_58944-08-21,drugs,1,2021.0,global_median,1.0,0.0
תפ_58944-08-21,drugs,1,2021.0,random_llm,9.5,15.5
תפ_58944-08-21,drugs,1,2021.0,citation_llm,11.5,17.5
תפ_58944-08-21,drugs,1,2021.0,sup_only,4.0,6.0
תפ_58944-08-21,drugs,1,2021.0,sup_llm,6.0,7.0
תפ_58944-08-21,drugs,1,2021.0,llm_best,13.0,19.0
תפ_58944-08-21,drugs,1,2021.0,tfidf_ridge,2.5477211514113893,2.146950967974096
תפ_58944-08-21,drugs,1,2021.0,bm25,4.0,0.0
תפ_58944-08-21,drugs,1,2021.0,offense_matched_random,2.0,4.0
תפ_46315-12-23,drugs,1,2023.0,global_median,21.0,22.0
תפ_46315-12-23,drugs,1,2023.0,random_llm,18.0,16.0
תפ_46315-12-23,drugs,1,2023.0,citation_llm,9.0,3.0
תפ_46315-12-23,drugs,1,2023.0,sup_only,12.0,10.0
