v1,v2,domain,cit_type,d_lo,d_hi
תפ_27103-01-18,תפ_66306-03-19,drugs,cocite,1.0,0.0
תפ_18320-05-19,תפ_32041-03-21,drugs,"1hop,cocite",1.0,6.0
תפ_10316-06-13,תפ_1197-11-21,drugs,cocite,2.0,0.0
תפ_23142-09-14,תפ_66982-09-16,drugs,cocite,33.0,67.0
תפ_35397-07-21,תפ_63953-01-24,weapon,cocite,0.0,6.0
תפ_58027-12-21,תפ_7109-02-21,weapon,cocite,8.0,10.0
תפ_50487-06-22,תפ_59967-01-13,weapon,cocite,26.0,36.0
תפ_6431-05-13,תפח_17033-01-22,weapon,cocite,60.0,100.0
תפ_45480-02-19,תפ_6970-05-22,drugs,"1hop,cocite",0.0,0.0
תפ_10182-01-24,תפ_39808-05-23,weapon,cocite,12.0,18.0
תפ_42991-05-16,תפ_57267-09-20,weapon,cocite,8.0,16.0
תפ_10180-01-24,תפ_48978-07-21,weapon,cocite,8.0,0.0
תפ_17057-08-20,תפ_17701-07-21,weapon,cocite,9.0,12.0
תפ_11789-12-16,תפ_63305-08-22,weapon,cocite,14.0,2.0
תפ_3384-12-23,תפ_42991-05-16,weapon,cocite,12.0,12.0
תפ_36982-03-18,תפ_6832-11-23,weapon,cocite,28.0,48.0
תפ_19908-10-21,תפ_43338-05-16,weapon,cocite,17.0,34.0
תפ_21991-04-20,תפ_58723-03-16,drugs,cocite,19.0,32.0
תפ_22588-03-22,תפ_6852-03-21,weapon,cocite,3.0,10.0
תפ_17856-11-21,תפ_51663-11-23,weapon,cocite,10.0,14.0
תפ_28787-04-22,תפ_58027-12-21,weapon,cocite,12.0,14.0
תפ_21971-07-18,תפ_54460-03-21,weapon,cocite,0.0,0.0
תפ_17655-10-22,תפ_44157-08-16,weapon,cocite,6.0,14.0
תפ_12376-04-20,תפ_19759-07-21,weapon,cocite,2.0,6.0
תפ_12376-04-20,תפ_2144-04-21,weapon,cocite,2.0,6.0
תפ_24551-06-22,תפ_31746-10-22,drugs,cocite,22.0,36.0
תפ_1580-11-23,תפ_8333-11-20,weapon,cocite,8.0,2.0
תפ_20477-02-20,תפ_9785-12-15,weapon,cocite,6.0,10.0
תפ_45561-04-17,תפ_50556-08-17,weapon,cocite,20.0,24.0
תפ_30678-02-22,תפ_62794-11-21,drugs,cocite,6.0,22.0
תפ_33040-09-24,תפ_44129-09-19,drugs,cocite,0.0,12.0
תפ_48071-01-23,תפ_59009-05-21,drugs,cocite,6.0,6.0
תפ_27992-01-24,תפ_8203-05-23,drugs,cocite,2.0,4.0
תפ_14375-02-23,תפ_34669-01-23,weapon,cocite,18.0,46.0
תפ_37386-11-13,תפ_61158-05-20,weapon,cocite,9.0,22.0
תפ_20538-11-17,תפ_65884-10-13,drugs,cocite,0.0,24.0
תפ_53496-03-18,תפ_61299-12-19,weapon,cocite,1.0,0.0
תפ_26552-06-23,תפ_50716-11-19,weapon,cocite,9.0,8.0
תפ_13154-01-18,תפ_5013-12,weapon,cocite,24.0,36.0
תפ_20770-11-22,תפ_5085-07-17,weapon,cocite,11.0,0.0
תפ_51663-11-23,תפ_68096-11-21,weapon,cocite,15.0,14.0
תפ_10896-06-20,תפ_38368-09-21,weapon,cocite,4.0,4.0
תפ_19821-02-17,תפ_33928-09-12,weapon,cocite,20.0,30.0
תפ_35512-06-17,תפ_44725-12-14,weapon,cocite,5.0,0.0
תפ_52077-12-20,תפ_63155-05-23,weapon,cocite,6.0,8.0
תפ_10875-12-21,תפ_41967-08-17,weapon,cocite,3.0,8.0
תפ_19908-10-21,תפ_7626-04-20,weapon,cocite,0.0,6.0
תפ_38883-05-22,תפח_15217-03-19,weapon,cocite,234.0,300.0
תפ_16760-09-22,תפ_28615-08-17,weapon,cocite,0.0,4.0
תפ_16760-09-22,תפ_9111-02-15,weapon,cocite,6.0,0.0
תפ_46379-02-21,תפ_50986-12-16,weapon,cocite,15.0,8.0
תפ_25639-03-21,תפח_15217-03-19,weapon,cocite,234.0,300.0
תפ_41754-05-22,תפ_6985-07-22,weapon,cocite,4.0,0.0
תפ_17919-01-15,תפ_27929-03-19,weapon,cocite,15.0,12.0
תפ_26792-04-16,תפ_37495-01-20,drugs,cocite,6.0,6.0
תפ_41694-03-20,תפ_46737-07-22,weapon,cocite,2.0,0.0
תפ_54432-02-17,תפ_6832-11-23,weapon,cocite,10.0,6.0
תפ_23872-02-19,תפ_42697-05-18,weapon,cocite,0.0,12.0
תפ_25631-03-22,תפ_51663-11-23,weapon,cocite,3.0,54.0
תפ_26709-06-14,תפ_64711-01-19,drugs,2hop,4.0,6.0
תפ_26552-06-23,תפ_34669-01-23,weapon,cocite,20.0,6.0
תפ_32227-11-20,תפ_41754-05-22,weapon,cocite,8.0,12.0
תפ_28615-01-22,תפ_34108-01-23,drugs,cocite,2.0,6.0
תפ_57912-07-14,תפ_6659-02-21,drugs,cocite,9.0,24.0
תפ_40256-11-14,תפ_41967-08-17,weapon,cocite,18.0,36.0
תפ_35227-05-17,תפ_36091-07-15,weapon,cocite,42.0,48.0
תפ_42991-05-16,תפ_52390-06-19,weapon,cocite,20.0,36.0
תפ_17260-12-23,תפ_61106-05-20,weapon,cocite,4.0,8.0
תפ_3256-16,תפ_37551-01-16,drugs,cocite,12.0,24.0
תפ_63953-01-24,תפח_24510-09-15,weapon,cocite,6.0,12.0
תפ_37175-07-20,תפ_4411-07-19,weapon,cocite,12.0,12.0
תפ_22588-03-22,תפ_6985-07-22,weapon,cocite,15.0,18.0
תפ_21355-08-18,תפ_32174-07-20,drugs,cocite,6.0,18.0
תפ_35364-01-18,תפ_56900-11-18,weapon,cocite,10.0,8.0
תפ_39424-11-22,תפ_5775-02-18,drugs,cocite,20.0,36.0
